drug,protein,,,,
DB00575,146,,,,784
DB00633,146,,,,785
DB00692,146,,,,786
DB01392,146,,,,790
DB00246,147,,,,801
DB00334,147,,,,811
DB00346,147,,,,814
DB00363,147,,,,815
DB00368,147,,,,816
DB00388,147,,,,817
DB00457,147,,,,818
DB00477,147,,,,819
DB00590,147,,,,831
DB00622,147,,,,834
DB00668,147,,,,836
DB00679,147,,,,846
DB00706,147,,,,847
DB00734,147,,,,873
DB01162,147,,,,875
DB01186,147,,,,983
DB01224,147,,,,984
DB01238,147,,,,994
DB06694,147,,,,1003
DB00381,147,,,,1017
DB00575,147,,,,1018
DB00692,147,,,,1019
DB01392,147,,,,1020
DB00246,148,,,,1021
DB00321,148,,,,1022
DB00334,148,,,,1024
DB00346,148,,,,1025
DB00363,148,,,,1066
DB00368,148,,,,1080
DB00388,148,,,,1105
DB00450,148,,,,1111
DB00457,148,,,,1128
DB00458,148,,,,1129
DB00477,148,,,,1131
DB00543,148,,,,1132
DB00590,148,,,,1133
DB00622,148,,,,1135
DB00656,148,,,,1136
DB00668,148,,,,1137
DB00679,148,,,,1138
DB00692,148,,,,1139
DB00706,148,,,,1141
DB00734,148,,,,1143
DB00751,148,,,,1145
DB00797,148,,,,1195
DB00831,148,,,,1196
DB00925,148,,,,1198
DB00934,148,,,,1230
DB00935,148,,,,1233
DB01136,148,,,,1234
DB01162,148,,,,1241
DB01175,148,,,,1244
DB01186,148,,,,1263
DB01224,148,,,,1268
DB01238,148,,,,1269
DB06694,148,,,,1311
DB06711,148,,,,1312
DB00215,148,,,,1326
DB00370,148,,,,1371
DB00381,148,,,,1374
DB00408,148,,,,1376
DB00472,148,,,,1384
DB00502,148,,,,1385
DB00575,148,,,,1432
DB01242,148,,,,1436
DB01392,148,,,,1445
DB06148,148,,,,1452
DB06207,148,,,,1453
DB00246,150,,,,1454
DB00268,150,,,,1455
DB00321,150,,,,1456
DB00334,150,,,,1457
DB00363,150,,,,1459
DB00368,150,,,,1491
DB00370,150,,,,1543
DB00413,150,,,,1544
DB00484,150,,,,1545
DB00543,150,,,,1548
DB00575,150,,,,1557
DB00633,150,,,,1558
DB00656,150,,,,1559
DB00668,150,,,,1565
DB00692,150,,,,1573
DB00697,150,,,,1576
DB00734,150,,,,1577
DB00751,150,,,,1584
DB00797,150,,,,1585
DB00800,150,,,,1586
DB00925,150,,,,1588
DB00935,150,,,,1595
DB00968,150,,,,1604
DB01186,150,,,,1610
DB01224,150,,,,1612
DB01238,150,,,,1613
DB01392,150,,,,1615
DB06148,150,,,,1621
DB06694,150,,,,1633
DB06711,150,,,,1636
DB00285,150,,,,1645
DB00408,150,,,,1646
DB00433,150,,,,1717
DB00457,150,,,,1719
DB00458,150,,,,1723
DB00472,150,,,,1728
DB00476,150,,,,1759
DB00477,150,,,,1760
DB00502,150,,,,1786
DB00590,150,,,,1787
DB00623,150,,,,1803
DB00679,150,,,,1806
DB00706,150,,,,1812
DB00715,150,,,,1813
DB00831,150,,,,1814
DB01162,150,,,,1815
DB01242,150,,,,1816
DB04946,150,,,,1859
DB06216,150,,,,1901
DB06288,150,,,,1903
DB00246,151,,,,1909
DB00268,151,,,,1910
DB00292,151,,,,1956
DB00334,151,,,,1969
DB00363,151,,,,2006
DB00368,151,,,,2011
DB00413,151,,,,2030
DB00484,151,,,,2041
DB00575,151,,,,2042
DB00668,151,,,,2043
DB00697,151,,,,2044
DB00734,151,,,,2045
DB00800,151,,,,2046
DB00925,151,,,,2047
DB01186,151,,,,2048
DB01224,151,,,,2049
DB01238,151,,,,2050
DB01392,151,,,,2051
DB06694,151,,,,2053
DB00126,151,,,,2064
DB00370,151,,,,2065
DB00408,151,,,,2066
DB00457,151,,,,2081
DB00477,151,,,,2099
DB00679,151,,,,2100
DB00692,151,,,,2101
DB00797,151,,,,2103
DB00831,151,,,,2104
DB00935,151,,,,2147
DB01162,151,,,,2152
DB04946,151,,,,2155
DB06148,151,,,,2158
DB06216,151,,,,2159
DB06711,151,,,,2167
DB00246,152,,,,2169
DB00268,152,,,,2170
DB00334,152,,,,2171
DB00363,152,,,,2182
DB00368,152,,,,2185
DB00413,152,,,,2191
DB00484,152,,,,2194
DB00575,152,,,,2224
DB00697,152,,,,2230
DB00734,152,,,,2241
DB00800,152,,,,2242
DB00925,152,,,,2246
DB01186,152,,,,2247
DB01224,152,,,,2260
DB01238,152,,,,2261
DB01392,152,,,,2263
DB06694,152,,,,2264
DB00370,152,,,,2268
DB00408,152,,,,2280
DB00457,152,,,,2321
DB00477,152,,,,2322
DB00502,152,,,,2324
DB00590,152,,,,2342
DB00679,152,,,,2356
DB00692,152,,,,2444
DB00706,152,,,,2475
DB00797,152,,,,2492
DB00831,152,,,,2534
DB00935,152,,,,2539
DB01162,152,,,,2548
DB04946,152,,,,2554
DB06148,152,,,,2555
DB06216,152,,,,2556
DB06288,152,,,,2557
DB06711,152,,,,2558
DB00187,153,,,,2559
DB00195,153,,,,2561
DB00264,153,,,,2562
DB00368,153,,,,2580
DB00373,153,,,,2593
DB00489,153,,,,2617
DB00571,153,,,,2618
DB00612,153,,,,2628
DB00668,153,,,,2653
DB00841,153,,,,2671
DB01001,153,,,,2677
DB01064,153,,,,2697
DB01118,153,,,,2731
DB01136,153,,,,2739
DB01193,153,,,,2742
DB04861,153,,,,2743
DB00246,153,,,,2752
DB00734,153,,,,2778
DB00983,153,,,,2805
DB01224,153,,,,2806
DB01238,153,,,,2815
DB05039,153,,,,2831
DB06216,153,,,,2868
DB00195,154,,,,2872
DB00264,154,,,,2875
DB00368,154,,,,2891
DB00373,154,,,,2892
DB00489,154,,,,2897
DB00571,154,,,,2898
DB00612,154,,,,2902
DB00668,154,,,,2903
DB00841,154,,,,2904
DB00867,154,,,,2905
DB00925,154,,,,2906
DB00983,154,,,,2908
DB01001,154,,,,2916
DB01064,154,,,,2931
DB01136,154,,,,2932
DB01193,154,,,,2936
DB01366,154,,,,2937
DB04861,154,,,,2939
DB05039,154,,,,2950
DB00246,154,,,,3039
DB00502,154,,,,3043
DB00734,154,,,,3055
DB01224,154,,,,3065
DB01238,154,,,,3066
DB06216,154,,,,3091
DB00368,155,,,,3105
DB00571,155,,,,3141
DB01064,155,,,,3156
DB00264,155,,,,3174
DB00373,155,,,,3178
DB00489,155,,,,3251
DB00612,155,,,,3269
DB00668,155,,,,3274
DB00983,155,,,,3284
DB01136,155,,,,3290
DB08893,155,,,,3292
DB01064,156,,,,3293
DB00128,159,,,,3315
DB02255,176,,,,3320
DB00177,185,,,,3326
DB00275,185,,,,3350
DB00796,185,,,,3351
DB00876,185,,,,3352
DB00966,185,,,,3354
DB01029,185,,,,3355
DB00966,186,,,,3356
DB00145,189,,,,3357
DB00755,190,,,,3358
DB01234,190,,,,3359
DB00379,196,,,,3360
DB00393,196,,,,3362
DB00499,196,,,,3363
DB01097,196,,,,3416
DB01169,207,,,,3458
DB04216,207,,,,3480
DB07995,207,,,,3551
DB08568,207,,,,3553
DB08846,207,,,,3558
DB07995,208,,,,3562
DB08568,208,,,,3567
DB00145,211,,,,3576
DB00145,212,,,,3577
DB00586,213,,,,3614
DB00682,213,,,,3615
DB01124,213,,,,3619
DB08828,213,,,,3620
DB00755,216,,,,3623
DB00536,217,,,,3643
DB00822,217,,,,3645
DB02115,217,,,,3654
DB00605,231,,,,3683
DB00328,231,,,,3689
DB03285,231,,,,3702
DB04216,231,,,,3716
DB08846,231,,,,3717
DB01268,238,,,,3718
DB04216,238,,,,3725
DB04849,238,,,,3735
DB05424,238,,,,3736
DB06616,238,,,,3738
DB08877,238,,,,3741
DB08865,238,,,,3751
DB00179,239,,,,3752
DB01243,239,,,,3753
DB04216,239,,,,3757
DB07795,239,,,,3758
DB00179,240,,,,3762
DB00233,240,,,,3764
DB00244,240,,,,3767
DB00471,240,,,,3768
DB00586,240,,,,3775
DB00744,240,,,,3777
DB00795,240,,,,3778
DB01014,240,,,,3779
DB01017,240,,,,3780
DB01097,240,,,,3781
DB00328,240,,,,3782
DB01243,240,,,,3783
DB04216,240,,,,3784
DB04725,240,,,,3785
DB00744,241,,,,3786
DB00848,251,,,,3791
DB01143,251,,,,3815
DB03754,262,,,,3832
DB00284,279,,,,3855
DB00973,290,,,,3932
DB00741,301,,,,3938
DB01234,301,,,,3939
DB03994,306,,,,3978
DB00170,316,,,,3980
DB00477,316,,,,3984
DB00481,316,,,,3985
DB00783,316,,,,4018
DB00977,316,,,,4048
DB01103,316,,,,4057
DB01645,316,,,,4058
DB00173,353,,,,4067
DB00367,367,,,,4117
DB00421,367,,,,4128
DB00499,367,,,,4129
DB00621,367,,,,4130
DB00624,367,,,,4133
DB00665,367,,,,4137
DB00984,367,,,,4140
DB01128,367,,,,4145
DB01395,367,,,,4214
DB01420,367,,,,4215
DB02266,367,,,,4216
DB02932,367,,,,4233
DB04839,367,,,,4293
DB06710,367,,,,4294
DB07423,367,,,,4296
DB00328,367,,,,4306
DB00396,367,,,,4312
DB00603,367,,,,4313
DB00783,367,,,,4314
DB00834,367,,,,4316
DB00860,367,,,,4317
DB01234,367,,,,4318
DB07352,367,,,,4321
DB08899,367,,,,4322
DB07348,375,,,,4323
DB01065,438,,,,4324
DB00128,440,,,,4325
DB00128,443,,,,4326
DB00128,444,,,,4353
DB00128,445,,,,4363
DB00536,445,,,,4486
DB00642,471,,,,4504
DB00390,476,,,,4507
DB01021,476,,,,4524
DB01092,476,,,,4543
DB01244,476,,,,4544
DB04216,498,,,,4547
DB08399,498,,,,4548
DB00165,501,,,,4552
DB04216,506,,,,4583
DB08399,506,,,,4593
DB04216,509,,,,4594
DB08399,509,,,,4638
DB00630,523,,,,4661
DB06733,523,,,,4718
DB00467,526,,,,4750
DB00872,552,,,,4751
DB00872,554,,,,4752
DB00257,554,,,,4758
DB04216,554,,,,4759
DB00317,558,,,,4790
DB00530,558,,,,4835
DB04216,558,,,,4837
DB04849,558,,,,4843
DB05465,558,,,,4846
DB06616,558,,,,4860
DB08916,558,,,,4869
DB08865,558,,,,4879
DB02740,567,,,,4886
DB00145,570,,,,4887
DB00382,590,,,,4914
DB00545,590,,,,4915
DB00674,590,,,,4916
DB00989,590,,,,4921
DB01169,595,,,,4985
DB01229,596,,,,4986
DB01248,596,,,,4988
DB01367,596,,,,5025
DB00170,632,,,,5029
DB02567,640,,,,5033
DB04849,640,,,,5047
DB04868,640,,,,5053
DB05424,640,,,,5054
DB06616,640,,,,5058
DB06999,640,,,,5062
DB08916,640,,,,5063
DB08865,640,,,,5066
DB00140,645,,,,5091
DB08597,652,,,,5095
DB01254,657,,,,5096
DB02567,657,,,,5127
DB08597,657,,,,5128
DB01254,658,,,,5129
DB01268,658,,,,5136
DB02567,658,,,,5138
DB03496,658,,,,5139
DB05294,658,,,,5140
DB05424,658,,,,5141
DB06589,658,,,,5142
DB06999,658,,,,5143
DB08597,658,,,,5144
DB08877,658,,,,5148
DB08865,658,,,,5149
DB06616,659,,,,5150
DB08597,659,,,,5151
DB08877,659,,,,5152
DB02567,660,,,,5153
DB05424,660,,,,5156
DB06616,660,,,,5159
DB08865,660,,,,5166
DB00398,673,,,,5167
DB06999,673,,,,5170
DB01254,673,,,,5218
DB02567,673,,,,5226
DB03044,673,,,,5241
DB04868,673,,,,5243
DB06589,673,,,,5260
DB08877,673,,,,5261
DB08881,673,,,,5264
DB08896,673,,,,5287
DB08846,673,,,,5290
DB02701,683,,,,5291
DB01204,695,,,,5292
DB01254,695,,,,5293
DB01268,695,,,,5294
DB02567,695,,,,5295
DB04849,695,,,,5296
DB05294,695,,,,5298
DB05424,695,,,,5319
DB06616,695,,,,5320
DB08865,695,,,,5321
DB00402,706,,,,5327
DB01178,706,,,,5328
DB01083,747,,,,5334
DB00232,759,,,,5337
DB00381,759,,,,5338
DB00423,759,,,,5340
DB00436,759,,,,5347
DB00703,759,,,,5351
DB00869,759,,,,5352
DB00880,759,,,,5375
DB00909,759,,,,5406
DB00999,759,,,,5422
DB01021,759,,,,5423
DB01144,759,,,,5426
DB01194,759,,,,5427
DB00259,759,,,,5443
DB00273,759,,,,5465
DB00391,759,,,,5467
DB00619,759,,,,5468
DB00841,759,,,,5478
DB00887,759,,,,5535
DB02709,759,,,,5562
DB03566,759,,,,5564
DB04216,759,,,,5566
DB04868,759,,,,5567
DB06218,759,,,,5569
DB07767,759,,,,5578
DB08846,759,,,,5579
DB00232,760,,,,5580
DB00273,760,,,,5581
DB00436,760,,,,5582
DB00695,760,,,,5583
DB00703,760,,,,5585
DB00869,760,,,,5586
DB00880,760,,,,5587
DB00909,760,,,,5588
DB00999,760,,,,5591
DB01021,760,,,,5592
DB01144,760,,,,5593
DB01194,760,,,,5594
DB00259,760,,,,5595
DB00391,760,,,,5596
DB00524,760,,,,5597
DB00619,760,,,,5598
DB00808,760,,,,5599
DB00841,760,,,,5600
DB00887,760,,,,5601
DB02709,760,,,,5602
DB03566,760,,,,5603
DB04216,760,,,,5604
DB04868,760,,,,5605
DB06218,760,,,,5606
DB07767,760,,,,5607
DB08846,760,,,,5608
DB00909,761,,,,5609
DB00259,761,,,,5610
DB00316,761,,,,5613
DB00482,761,,,,5621
DB00619,761,,,,5624
DB00841,761,,,,5627
DB00869,761,,,,5644
DB02709,761,,,,5689
DB04216,761,,,,5690
DB04665,761,,,,5693
DB04868,761,,,,5707
DB06218,761,,,,5708
DB00232,762,,,,5731
DB00273,762,,,,5732
DB00436,762,,,,5733
DB00703,762,,,,5734
DB00869,762,,,,5737
DB00880,762,,,,5739
DB00909,762,,,,5740
DB00999,762,,,,5742
DB01021,762,,,,5743
DB01144,762,,,,5747
DB01194,762,,,,5753
DB00259,762,,,,5770
DB00524,762,,,,5775
DB00619,762,,,,5791
DB00841,762,,,,5802
DB00887,762,,,,5837
DB02709,762,,,,5871
DB03566,762,,,,5894
DB04216,762,,,,5914
DB04665,762,,,,5915
DB04868,762,,,,5916
DB06218,762,,,,5947
DB08846,762,,,,5950
DB00909,763,,,,5972
DB01194,763,,,,5979
DB00273,763,,,,6010
DB00391,763,,,,6011
DB00524,763,,,,6035
DB00580,763,,,,6037
DB00841,763,,,,6046
DB00887,763,,,,6093
DB00999,763,,,,6096
DB01021,763,,,,6098
DB01144,763,,,,6195
DB02709,763,,,,6196
DB03566,763,,,,6197
DB04216,763,,,,6198
DB04665,763,,,,6240
DB04868,763,,,,6241
DB06218,763,,,,6256
DB07767,763,,,,6257
DB08846,763,,,,6258
DB00524,765,,,,6261
DB00619,765,,,,6271
DB00808,765,,,,6273
DB00841,765,,,,6275
DB00869,765,,,,6283
DB00887,765,,,,6284
DB00909,765,,,,6285
DB00999,765,,,,6286
DB01021,765,,,,6300
DB01144,765,,,,6303
DB02709,765,,,,6323
DB03566,765,,,,6324
DB04216,765,,,,6326
DB04665,765,,,,6328
DB04868,765,,,,6329
DB06218,765,,,,6330
DB07767,765,,,,6331
DB08846,765,,,,6336
DB00909,767,,,,6337
DB00909,768,,,,6338
DB00999,768,,,,6339
DB00259,768,,,,6340
DB00273,768,,,,6347
DB00391,768,,,,6416
DB00524,768,,,,6462
DB00580,768,,,,6469
DB00619,768,,,,6470
DB00841,768,,,,6472
DB00869,768,,,,6476
DB00887,768,,,,6513
DB01021,768,,,,6523
DB01144,768,,,,6530
DB01194,768,,,,6531
DB02709,768,,,,6532
DB03566,768,,,,6554
DB04216,768,,,,6555
DB04665,768,,,,6564
DB04868,768,,,,6571
DB06218,768,,,,6573
DB07767,768,,,,6580
DB08846,768,,,,6581
DB00909,770,,,,6582
DB00909,771,,,,6608
DB00999,771,,,,6646
DB00273,771,,,,6713
DB00316,771,,,,6714
DB00524,771,,,,6725
DB00619,771,,,,6732
DB00808,771,,,,6733
DB00841,771,,,,6750
DB00887,771,,,,6751
DB01021,771,,,,6752
DB01144,771,,,,6755
DB01194,771,,,,6768
DB02709,771,,,,6777
DB04216,771,,,,6783
DB04665,771,,,,6788
DB04868,771,,,,6789
DB06218,771,,,,6790
DB07767,771,,,,6792
DB08846,771,,,,6793
DB00230,773,,,,6795
DB00661,773,,,,6820
DB00836,773,,,,6822
DB01244,773,,,,6833
DB00381,774,,,,6850
DB00661,774,,,,6868
DB00996,774,,,,6869
DB01202,774,,,,6870
DB04841,774,,,,6885
DB00270,775,,,,6915
DB00308,775,,,,6916
DB00381,775,,,,6947
DB00393,775,,,,7006
DB00401,775,,,,7010
DB00622,775,,,,7016
DB00661,775,,,,7046
DB01023,775,,,,7048
DB01054,775,,,,7052
DB01115,775,,,,7067
DB01373,775,,,,7068
DB06712,775,,,,7075
DB00270,776,,,,7083
DB00381,776,,,,7097
DB00393,776,,,,7124
DB00401,776,,,,7125
DB00622,776,,,,7134
DB00661,776,,,,7150
DB01023,776,,,,7153
DB01054,776,,,,7155
DB01115,776,,,,7172
DB06712,776,,,,7173
DB00393,778,,,,7184
DB00661,778,,,,7226
DB00270,779,,,,7272
DB00381,779,,,,7276
DB00393,779,,,,7277
DB00401,779,,,,7278
DB00661,779,,,,7283
DB01023,779,,,,7294
DB01054,779,,,,7295
DB01115,779,,,,7296
DB06712,779,,,,7297
DB00619,780,,,,7298
DB01254,780,,,,7299
DB02567,780,,,,7301
DB04849,780,,,,7371
DB04868,780,,,,7412
DB06616,780,,,,7421
DB06999,780,,,,7422
DB08865,780,,,,7444
DB00270,781,,,,7465
DB00308,781,,,,7498
DB00381,781,,,,7525
DB00401,781,,,,7535
DB00622,781,,,,7786
DB00996,781,,,,7846
DB01023,781,,,,7852
DB01054,781,,,,7920
DB01115,781,,,,7941
DB04838,781,,,,8019
DB06712,781,,,,8029
DB00308,782,,,,8038
DB00393,782,,,,8284
DB00661,782,,,,8288
DB00381,782,,,,8394
DB00270,783,,,,8396
DB00381,783,,,,8398
DB00393,783,,,,8408
DB00401,783,,,,8424
DB00622,783,,,,8428
DB00661,783,,,,8445
DB01023,783,,,,8476
DB01054,783,,,,8491
DB01115,783,,,,8503
DB06712,783,,,,8513
DB00393,784,,,,8536
DB00661,784,,,,8566
DB00393,785,,,,8569
DB00661,785,,,,8573
DB00308,786,,,,8576
DB00343,786,,,,8600
DB01054,786,,,,8621
DB00128,790,,,,8622
DB00527,801,,,,8639
DB00622,801,,,,8644
DB00623,801,,,,8647
DB00831,801,,,,8648
DB00836,801,,,,8654
DB00925,801,,,,8658
DB01023,801,,,,8698
DB01065,801,,,,8711
DB01115,801,,,,8737
DB01244,801,,,,8754
DB01373,801,,,,8767
DB04841,801,,,,8780
DB00477,801,,,,8788
DB01065,811,,,,8841
DB08568,814,,,,8854
DB01268,815,,,,8856
DB03496,815,,,,8858
DB06616,815,,,,8899
DB08568,815,,,,8911
DB08877,815,,,,8912
DB01268,816,,,,8913
DB03496,816,,,,8972
DB04216,816,,,,8985
DB07995,816,,,,8986
DB08568,816,,,,8989
DB08877,816,,,,8999
DB00530,817,,,,9024
DB01268,817,,,,9052
DB03496,817,,,,9088
DB08568,817,,,,9113
DB08877,817,,,,9128
DB01268,818,,,,9132
DB03496,818,,,,9149
DB06616,818,,,,9175
DB08568,818,,,,9177
DB08877,818,,,,9201
DB00091,819,,,,9212
DB01373,831,,,,9252
DB01017,834,,,,9254
DB01017,836,,,,9261
DB00773,836,,,,9262
DB01012,846,,,,9263
DB01213,847,,,,9266
DB03467,873,,,,9344
DB00165,875,,,,9356
DB03496,983,,,,9367
DB02733,983,,,,9429
DB04216,983,,,,9448
DB04751,983,,,,9453
DB08142,983,,,,9475
DB08142,984,,,,9507
DB08865,984,,,,9536
DB00170,994,,,,9578
DB00480,1003,,,,9611
DB02733,1017,,,,9641
DB03496,1017,,,,9706
DB08142,1017,,,,9734
DB00398,1017,,,,9748
DB01268,1017,,,,9759
DB04716,1017,,,,9833
DB04751,1017,,,,9874
DB07795,1017,,,,9891
DB08568,1017,,,,9900
DB00398,1018,,,,9943
DB08142,1018,,,,9971
DB08568,1018,,,,10000
DB02733,1019,,,,10013
DB03496,1019,,,,10014
DB01268,1019,,,,10038
DB04751,1019,,,,10057
DB08142,1019,,,,10060
DB03496,1020,,,,10114
DB00398,1020,,,,10188
DB01268,1020,,,,10242
DB02733,1020,,,,10247
DB03044,1020,,,,10249
DB07352,1020,,,,10257
DB07795,1020,,,,10280
DB08142,1020,,,,10298
DB03496,1021,,,,10376
DB07795,1021,,,,10381
DB07352,1021,,,,10382
DB08142,1021,,,,10383
DB03496,1022,,,,10432
DB00317,1022,,,,10461
DB03044,1022,,,,10494
DB05294,1022,,,,10499
DB05465,1022,,,,10536
DB06616,1022,,,,10606
DB08142,1022,,,,10645
DB08568,1022,,,,10682
DB08877,1022,,,,10733
DB08865,1022,,,,10746
DB03496,1024,,,,10769
DB04879,1024,,,,10783
DB06999,1024,,,,10800
DB08568,1024,,,,10825
DB03496,1025,,,,10846
DB08142,1025,,,,10863
DB08568,1025,,,,11011
DB00198,1066,,,,11040
DB00583,1066,,,,11096
DB01599,1066,,,,11113
DB04838,1066,,,,11156
DB00887,1080,,,,11183
DB01016,1080,,,,11184
DB08820,1080,,,,11188
DB01023,1080,,,,11200
DB00445,1105,,,,11213
DB06852,1111,,,,11238
DB01268,1111,,,,11251
DB04690,1111,,,,11255
DB06616,1111,,,,11309
DB08568,1111,,,,11343
DB00245,1128,,,,22848
DB00246,1128,,,,22858
DB00321,1128,,,,22978
DB00332,1128,,,,22983
DB00334,1128,,,,23012
DB00363,1128,,,,23028
DB00366,1128,,,,23043
DB00387,1128,,,,23097
DB00424,1128,,,,23113
DB00434,1128,,,,23173
DB00458,1128,,,,23235
DB00462,1128,,,,23387
DB00496,1128,,,,23396
DB00517,1128,,,,23408
DB00543,1128,,,,23450
DB00572,1128,,,,23464
DB00622,1128,,,,23475
DB00715,1128,,,,23476
DB00747,1128,,,,23541
DB00804,1128,,,,23590
DB00809,1128,,,,23604
DB00810,1128,,,,23621
DB00934,1128,,,,23632
DB01036,1128,,,,23649
DB01062,1128,,,,23678
DB01085,1128,,,,23683
DB01148,1128,,,,24145
DB01175,1128,,,,25778
DB01224,1128,,,,25824
DB01238,1128,,,,25974
DB01239,1128,,,,25989
DB01409,1128,,,,26090
DB01591,1128,,,,26275
DB04365,1128,,,,26524
DB04843,1128,,,,26576
DB06702,1128,,,,27032
DB00215,1128,,,,27095
DB00285,1128,,,,27102
DB00342,1128,,,,27115
DB00408,1128,,,,27148
DB00472,1128,,,,27232
DB00483,1128,,,,27306
DB00734,1128,,,,27330
DB01019,1128,,,,27347
DB01173,1128,,,,28639
DB04946,1128,,,,28755
DB08897,1128,,,,28988
DB01075,1128,,,,28996
DB00246,1129,,,,29110
DB00321,1129,,,,29881
DB00332,1129,,,,30811
DB00334,1129,,,,50484
DB00363,1129,,,,50488
DB00387,1129,,,,50507
DB00424,1129,,,,50632
DB00434,1129,,,,50940
DB00458,1129,,,,51086
DB00462,1129,,,,51135
DB00483,1129,,,,51174
DB00496,1129,,,,51175
DB00517,1129,,,,51265
DB00572,1129,,,,51268
DB00622,1129,,,,51284
DB00715,1129,,,,51305
DB00728,1129,,,,51311
DB00747,1129,,,,51347
DB00804,1129,,,,51564
DB00809,1129,,,,51701
DB00934,1129,,,,51727
DB01019,1129,,,,51765
DB01036,1129,,,,51776
DB01062,1129,,,,51807
DB01085,1129,,,,53637
DB01148,1129,,,,53904
DB01224,1129,,,,53944
DB01238,1129,,,,54101
DB01239,1129,,,,54106
DB01337,1129,,,,54107
DB01409,1129,,,,54205
DB01591,1129,,,,54583
DB06702,1129,,,,54677
DB00285,1129,,,,54681
DB00382,1129,,,,54795
DB00408,1129,,,,54861
DB00433,1129,,,,54878
DB00472,1129,,,,55117
DB00476,1129,,,,55157
DB00477,1129,,,,55193
DB00623,1129,,,,55214
DB00679,1129,,,,55217
DB00734,1129,,,,55239
DB00810,1129,,,,55312
DB00831,1129,,,,55351
DB01173,1129,,,,55561
DB01245,1129,,,,55584
DB04365,1129,,,,55589
DB04843,1129,,,,55781
DB04946,1129,,,,55799
DB06216,1129,,,,55800
DB08897,1129,,,,55825
DB01075,1129,,,,55869
DB00246,1131,,,,56479
DB00321,1131,,,,56655
DB00332,1131,,,,56922
DB00334,1131,,,,56924
DB00342,1131,,,,56997
DB00363,1131,,,,57026
DB00387,1131,,,,57105
DB00424,1131,,,,57118
DB00434,1131,,,,57144
DB00458,1131,,,,57172
DB00462,1131,,,,57396
DB00496,1131,,,,57551
DB00517,1131,,,,58497
DB00572,1131,,,,59272
DB00622,1131,,,,59340
DB00715,1131,,,,64087
DB00747,1131,,,,64175
DB00809,1131,,,,64805
DB00934,1131,,,,64902
DB01036,1131,,,,65061
DB01062,1131,,,,65975
DB01085,1131,,,,79001
DB01224,1131,,,,79661
DB01238,1131,,,,79676
DB01239,1131,,,,79837
DB01337,1131,,,,79858
DB01409,1131,,,,79885
DB01591,1131,,,,79934
