Drug1,Drug2,cell,drug1_db,drug2_db,synergy,sideeffect,synergistic
LAPATINIB,BORTEZOMIB,11,545,130,1.7725,0,1
LAPATINIB,DASATINIB,11,545,121,7.1,0,1
LAPATINIB,ERLOTINIB,11,545,251,5.1075,0,1
LAPATINIB,GELDANAMYCIN,11,545,34,9.875,0,1
LAPATINIB,SORAFENIB,11,545,142,20.58,0,1
LAPATINIB,TOPOTECAN,11,545,287,10.4225,0,1
METFORMIN,BORTEZOMIB,11,660,130,2.6525,0,1
METFORMIN,DASATINIB,11,660,121,-0.5275,0,0
METFORMIN,ERLOTINIB,11,660,251,-0.415,0,0
METFORMIN,GELDANAMYCIN,11,660,34,10.9925,0,1
METFORMIN,LAPATINIB,11,660,545,4.47,0,1
METFORMIN,SORAFENIB,11,660,142,17.3525,0,1
METFORMIN,SUNITINIB,11,660,727,13.2575,0,1
METHOTREXATE,BORTEZOMIB,11,285,130,-2.4275,0,0
METHOTREXATE,DASATINIB,11,285,121,5.06,0,1
METHOTREXATE,ERLOTINIB,11,285,251,3.2875,0,1
METHOTREXATE,GELDANAMYCIN,11,285,34,-6.2425,0,0
METHOTREXATE,LAPATINIB,11,285,545,0.105,0,1
METHOTREXATE,SORAFENIB,11,285,142,1.55,0,1
METHOTREXATE,SUNITINIB,11,285,727,-2.5225,0,0
PACLITAXEL,BORTEZOMIB,11,702,130,2.1075,0,1
PACLITAXEL,DASATINIB,11,702,121,0.645,0,1
PACLITAXEL,ERLOTINIB,11,702,251,-2.2525,0,0
PACLITAXEL,GELDANAMYCIN,11,702,34,3.855,0,1
PACLITAXEL,LAPATINIB,11,702,545,0.375,0,1
PACLITAXEL,SORAFENIB,11,702,142,3.4675,0,1
PACLITAXEL,SUNITINIB,11,702,727,5.6075,0,1
SUNITINIB,BORTEZOMIB,11,727,130,5.2975,0,1
SUNITINIB,DASATINIB,11,727,121,16.3975,0,1
SUNITINIB,ERLOTINIB,11,727,251,14.34,0,1
SUNITINIB,GELDANAMYCIN,11,727,34,10.5975,0,1
SUNITINIB,LAPATINIB,11,727,545,24.8375,0,1
SUNITINIB,SORAFENIB,11,727,142,12.515,0,1
SUNITINIB,TOPOTECAN,11,727,287,3.2725,0,1
TOPOTECAN,SORAFENIB,11,287,142,8.77,0,1
VINBLASTINE,BORTEZOMIB,11,650,130,4.51,0,1
VINBLASTINE,DASATINIB,11,650,121,-1.2525,0,0
VINBLASTINE,ERLOTINIB,11,650,251,8.9775,0,1
VINBLASTINE,GELDANAMYCIN,11,650,34,3.1475,0,1
VINBLASTINE,LAPATINIB,11,650,545,2.5875,0,1
VINBLASTINE,SORAFENIB,11,650,142,15.8075,0,1
VINBLASTINE,SUNITINIB,11,650,727,7.7925,0,1
VINORELBINE,BORTEZOMIB,11,332,130,0.125,0,1
VINORELBINE,DASATINIB,11,332,121,-1.34,0,0
VINORELBINE,ERLOTINIB,11,332,251,3.5475,0,1
VINORELBINE,GELDANAMYCIN,11,332,34,3.07,0,1
VINORELBINE,LAPATINIB,11,332,545,1.25,0,1
VINORELBINE,SORAFENIB,11,332,142,5.005,0,1
VINORELBINE,SUNITINIB,11,332,727,3.1575,0,1
5-FU,BORTEZOMIB,10,663,130,2.3325,0,1
5-FU,DASATINIB,10,663,121,11.825,0,1
5-FU,ERLOTINIB,10,663,251,15.215,0,1
5-FU,GELDANAMYCIN,10,663,34,4.1725,0,1
5-FU,LAPATINIB,10,663,545,15.875,0,1
5-FU,SORAFENIB,10,663,142,5.4125,0,1
5-FU,SUNITINIB,10,663,727,10.6925,0,1
BORTEZOMIB,DASATINIB,10,130,121,4.33,0,1
BORTEZOMIB,GELDANAMYCIN,10,130,34,3.0325,0,1
BORTEZOMIB,SORAFENIB,10,130,142,3.0225,0,1
BORTEZOMIB,TOPOTECAN,10,130,287,5.575,0,1
DASATINIB,GELDANAMYCIN,10,121,34,6.5325,0,1
DASATINIB,SORAFENIB,10,121,142,13.57,0,1
DASATINIB,TOPOTECAN,10,121,287,7.215,0,1
DEXAMETHASONE,BORTEZOMIB,10,205,130,1.5225,0,1
DEXAMETHASONE,DASATINIB,10,205,121,5.5075,0,1
DEXAMETHASONE,ERLOTINIB,10,205,251,3.7525,0,1
DEXAMETHASONE,GELDANAMYCIN,10,205,34,3.005,0,1
DEXAMETHASONE,LAPATINIB,10,205,545,4.5975,0,1
DEXAMETHASONE,SORAFENIB,10,205,142,2.0025,0,1
DEXAMETHASONE,SUNITINIB,10,205,727,5.795,0,1
DOXORUBICIN,BORTEZOMIB,10,103,130,4.1825,0,1
DOXORUBICIN,DASATINIB,10,103,121,7.6625,0,1
DOXORUBICIN,ERLOTINIB,10,103,251,6.0,0,1
DOXORUBICIN,GELDANAMYCIN,10,103,34,2.6175,0,1
DOXORUBICIN,LAPATINIB,10,103,545,8.875,0,1
DOXORUBICIN,SORAFENIB,10,103,142,-0.3575,0,0
DOXORUBICIN,SUNITINIB,10,103,727,-0.38,0,0
ERLOTINIB,BORTEZOMIB,10,251,130,2.68,0,1
ERLOTINIB,DASATINIB,10,251,121,11.615,0,1
ERLOTINIB,GELDANAMYCIN,10,251,34,5.6025,0,1
ERLOTINIB,SORAFENIB,10,251,142,8.295,0,1
ERLOTINIB,TOPOTECAN,10,251,287,13.0275,0,1
ETOPOSIDE,BORTEZOMIB,10,324,130,3.64,0,1
ETOPOSIDE,DASATINIB,10,324,121,9.715,0,1
ETOPOSIDE,ERLOTINIB,10,324,251,9.72,0,1
ETOPOSIDE,GELDANAMYCIN,10,324,34,3.5125,0,1
ETOPOSIDE,LAPATINIB,10,324,545,12.05,0,1
ETOPOSIDE,SORAFENIB,10,324,142,1.675,0,1
ETOPOSIDE,SUNITINIB,10,324,727,2.3025,0,1
GELDANAMYCIN,SORAFENIB,10,34,142,2.2275,0,1
GELDANAMYCIN,TOPOTECAN,10,34,287,3.3425,0,1
GEMCITABINE,BORTEZOMIB,10,468,130,2.8025,0,1
GEMCITABINE,DASATINIB,10,468,121,5.885,0,1
GEMCITABINE,ERLOTINIB,10,468,251,4.76,0,1
GEMCITABINE,GELDANAMYCIN,10,468,34,0.7825,0,1
GEMCITABINE,LAPATINIB,10,468,545,5.7025,0,1
GEMCITABINE,SORAFENIB,10,468,142,0.2475,0,1
GEMCITABINE,SUNITINIB,10,468,727,2.825,0,1
LAPATINIB,BORTEZOMIB,10,545,130,5.6925,0,1
LAPATINIB,DASATINIB,10,545,121,19.5325,0,1
LAPATINIB,ERLOTINIB,10,545,251,9.385,0,1
LAPATINIB,GELDANAMYCIN,10,545,34,6.77,0,1
LAPATINIB,SORAFENIB,10,545,142,7.7375,0,1
LAPATINIB,TOPOTECAN,10,545,287,10.205,0,1
METFORMIN,BORTEZOMIB,10,660,130,0.645,0,1
METFORMIN,DASATINIB,10,660,121,10.49,0,1
METFORMIN,ERLOTINIB,10,660,251,4.5225,0,1
METFORMIN,GELDANAMYCIN,10,660,34,1.3575,0,1
METFORMIN,LAPATINIB,10,660,545,4.83,0,1
METFORMIN,SORAFENIB,10,660,142,5.6425,0,1
METFORMIN,SUNITINIB,10,660,727,11.5225,0,1
METHOTREXATE,BORTEZOMIB,10,285,130,0.7725,0,1
METHOTREXATE,DASATINIB,10,285,121,2.15,0,1
METHOTREXATE,ERLOTINIB,10,285,251,2.595,0,1
METHOTREXATE,GELDANAMYCIN,10,285,34,-1.18,0,0
METHOTREXATE,LAPATINIB,10,285,545,2.33,0,1
METHOTREXATE,SORAFENIB,10,285,142,0.8175,0,1
METHOTREXATE,SUNITINIB,10,285,727,-0.14,0,0
PACLITAXEL,BORTEZOMIB,10,702,130,2.215,0,1
PACLITAXEL,DASATINIB,10,702,121,11.8525,0,1
PACLITAXEL,ERLOTINIB,10,702,251,4.1875,0,1
PACLITAXEL,GELDANAMYCIN,10,702,34,0.67,0,1
PACLITAXEL,LAPATINIB,10,702,545,5.665,0,1
PACLITAXEL,SORAFENIB,10,702,142,5.3925,0,1
PACLITAXEL,SUNITINIB,10,702,727,6.03,0,1
SUNITINIB,BORTEZOMIB,10,727,130,6.1425,0,1
SUNITINIB,DASATINIB,10,727,121,15.355,0,1
SUNITINIB,ERLOTINIB,10,727,251,12.2275,0,1
SUNITINIB,GELDANAMYCIN,10,727,34,6.17,0,1
SUNITINIB,LAPATINIB,10,727,545,17.3475,0,1
SUNITINIB,SORAFENIB,10,727,142,2.3625,0,1
SUNITINIB,TOPOTECAN,10,727,287,3.3675,0,1
TOPOTECAN,SORAFENIB,10,287,142,3.0325,0,1
VINBLASTINE,BORTEZOMIB,10,650,130,4.2425,0,1
VINBLASTINE,DASATINIB,10,650,121,9.4425,0,1
VINBLASTINE,ERLOTINIB,10,650,251,10.5925,0,1
VINBLASTINE,GELDANAMYCIN,10,650,34,3.0275,0,1
VINBLASTINE,LAPATINIB,10,650,545,8.0425,0,1
VINBLASTINE,SORAFENIB,10,650,142,5.5925,0,1
VINBLASTINE,SUNITINIB,10,650,727,6.3175,0,1
VINORELBINE,BORTEZOMIB,10,332,130,2.22,0,1
VINORELBINE,DASATINIB,10,332,121,6.845,0,1
VINORELBINE,ERLOTINIB,10,332,251,5.4375,0,1
VINORELBINE,GELDANAMYCIN,10,332,34,1.44,0,1
VINORELBINE,LAPATINIB,10,332,545,5.8925,0,1
VINORELBINE,SORAFENIB,10,332,142,1.69,0,1
VINORELBINE,SUNITINIB,10,332,727,5.1375,0,1
5-FU,BORTEZOMIB,28,663,130,0.9975,0,1
5-FU,DASATINIB,28,663,121,0.1925,0,1
5-FU,ERLOTINIB,28,663,251,1.12,0,1
5-FU,GELDANAMYCIN,28,663,34,6.2925,0,1
5-FU,LAPATINIB,28,663,545,-0.8575,0,0
5-FU,SORAFENIB,28,663,142,7.2025,0,1
5-FU,SUNITINIB,28,663,727,7.425,0,1
BORTEZOMIB,DASATINIB,28,130,121,-1.65,0,0
BORTEZOMIB,GELDANAMYCIN,28,130,34,3.785,0,1
BORTEZOMIB,SORAFENIB,28,130,142,8.0675,0,1
BORTEZOMIB,TOPOTECAN,28,130,287,-4.8325,0,0
DASATINIB,GELDANAMYCIN,28,121,34,9.8675,0,1
DASATINIB,SORAFENIB,28,121,142,13.25,0,1
DASATINIB,TOPOTECAN,28,121,287,6.125,0,1
DEXAMETHASONE,BORTEZOMIB,28,205,130,3.32,0,1
DEXAMETHASONE,DASATINIB,28,205,121,13.6625,0,1
DEXAMETHASONE,ERLOTINIB,28,205,251,-1.9475,0,0
DEXAMETHASONE,GELDANAMYCIN,28,205,34,5.59,0,1
DEXAMETHASONE,LAPATINIB,28,205,545,0.11,0,1
DEXAMETHASONE,SORAFENIB,28,205,142,13.375,0,1
DEXAMETHASONE,SUNITINIB,28,205,727,16.555,0,1
DOXORUBICIN,BORTEZOMIB,28,103,130,-0.1025,0,0
DOXORUBICIN,DASATINIB,28,103,121,-4.7025,0,0
DOXORUBICIN,ERLOTINIB,28,103,251,-5.645,0,0
DOXORUBICIN,GELDANAMYCIN,28,103,34,-2.4225,0,0
DOXORUBICIN,LAPATINIB,28,103,545,-3.9125,0,0
DOXORUBICIN,SORAFENIB,28,103,142,-16.425,0,0
DOXORUBICIN,SUNITINIB,28,103,727,-17.505,0,0
ERLOTINIB,BORTEZOMIB,28,251,130,-0.2325,0,0
ERLOTINIB,DASATINIB,28,251,121,-2.415,0,0
ERLOTINIB,GELDANAMYCIN,28,251,34,10.1875,0,1
ERLOTINIB,SORAFENIB,28,251,142,8.5525,0,1
ERLOTINIB,TOPOTECAN,28,251,287,15.61,0,1
ETOPOSIDE,BORTEZOMIB,28,324,130,0.0675,0,1
ETOPOSIDE,DASATINIB,28,324,121,5.2025,0,1
ETOPOSIDE,ERLOTINIB,28,324,251,6.8,0,1
ETOPOSIDE,GELDANAMYCIN,28,324,34,0.365,0,1
ETOPOSIDE,LAPATINIB,28,324,545,3.175,0,1
ETOPOSIDE,SORAFENIB,28,324,142,1.3875,0,1
ETOPOSIDE,SUNITINIB,28,324,727,-1.3525,0,0
GELDANAMYCIN,SORAFENIB,28,34,142,6.835,0,1
GELDANAMYCIN,TOPOTECAN,28,34,287,-0.8975,0,0
GEMCITABINE,BORTEZOMIB,28,468,130,1.86,0,1
GEMCITABINE,DASATINIB,28,468,121,2.8825,0,1
GEMCITABINE,ERLOTINIB,28,468,251,0.41,0,1
GEMCITABINE,GELDANAMYCIN,28,468,34,0.23,0,1
GEMCITABINE,LAPATINIB,28,468,545,-1.6825,0,0
GEMCITABINE,SORAFENIB,28,468,142,1.2675,0,1
GEMCITABINE,SUNITINIB,28,468,727,1.7075,0,1
LAPATINIB,BORTEZOMIB,28,545,130,3.1625,0,1
LAPATINIB,DASATINIB,28,545,121,-3.375,0,0
LAPATINIB,ERLOTINIB,28,545,251,-5.1725,0,0
LAPATINIB,GELDANAMYCIN,28,545,34,9.0575,0,1
LAPATINIB,SORAFENIB,28,545,142,7.975,0,1
LAPATINIB,TOPOTECAN,28,545,287,6.255,0,1
METFORMIN,BORTEZOMIB,28,660,130,-0.7575,0,0
METFORMIN,DASATINIB,28,660,121,-2.735,0,0
METFORMIN,ERLOTINIB,28,660,251,-3.3975,0,0
METFORMIN,GELDANAMYCIN,28,660,34,0.9775,0,1
METFORMIN,LAPATINIB,28,660,545,-2.0175,0,0
METFORMIN,SORAFENIB,28,660,142,8.3,0,1
METFORMIN,SUNITINIB,28,660,727,4.9275,0,1
METHOTREXATE,BORTEZOMIB,28,285,130,3.4575,0,1
METHOTREXATE,DASATINIB,28,285,121,0.2,0,1
METHOTREXATE,ERLOTINIB,28,285,251,10.26,0,1
METHOTREXATE,GELDANAMYCIN,28,285,34,5.0325,0,1
METHOTREXATE,LAPATINIB,28,285,545,9.2575,0,1
METHOTREXATE,SORAFENIB,28,285,142,6.9325,0,1
METHOTREXATE,SUNITINIB,28,285,727,-2.295,0,0
PACLITAXEL,BORTEZOMIB,28,702,130,-0.9375,0,0
PACLITAXEL,DASATINIB,28,702,121,5.08,0,1
PACLITAXEL,ERLOTINIB,28,702,251,9.9375,0,1
PACLITAXEL,GELDANAMYCIN,28,702,34,-0.54,0,0
PACLITAXEL,LAPATINIB,28,702,545,17.83,0,1
PACLITAXEL,SORAFENIB,28,702,142,10.055,0,1
PACLITAXEL,SUNITINIB,28,702,727,8.3475,0,1
SUNITINIB,BORTEZOMIB,28,727,130,2.7225,0,1
SUNITINIB,DASATINIB,28,727,121,14.285,0,1
SUNITINIB,ERLOTINIB,28,727,251,7.29,0,1
SUNITINIB,GELDANAMYCIN,28,727,34,9.9425,0,1
SUNITINIB,LAPATINIB,28,727,545,9.1225,0,1
SUNITINIB,SORAFENIB,28,727,142,9.525,0,1
SUNITINIB,TOPOTECAN,28,727,287,2.1075,0,1
TOPOTECAN,SORAFENIB,28,287,142,11.225,0,1
VINBLASTINE,BORTEZOMIB,28,650,130,1.4525,0,1
VINBLASTINE,DASATINIB,28,650,121,-0.4475,0,0
VINBLASTINE,ERLOTINIB,28,650,251,9.4075,0,1
VINBLASTINE,GELDANAMYCIN,28,650,34,4.5025,0,1
VINBLASTINE,LAPATINIB,28,650,545,6.7325,0,1
VINBLASTINE,SORAFENIB,28,650,142,11.075,0,1
VINBLASTINE,SUNITINIB,28,650,727,0.17,0,1
VINORELBINE,BORTEZOMIB,28,332,130,1.515,0,1
VINORELBINE,DASATINIB,28,332,121,6.54,0,1
VINORELBINE,ERLOTINIB,28,332,251,12.69,0,1
VINORELBINE,GELDANAMYCIN,28,332,34,8.6425,0,1
VINORELBINE,LAPATINIB,28,332,545,13.7925,0,1
VINORELBINE,SORAFENIB,28,332,142,8.6825,0,1
VINORELBINE,SUNITINIB,28,332,727,4.41,0,1
5-FU,BORTEZOMIB,47,663,130,1.1375,0,1
5-FU,DASATINIB,47,663,121,4.4575,0,1
5-FU,ERLOTINIB,47,663,251,-1.1275,0,0
5-FU,GELDANAMYCIN,47,663,34,1.09,0,1
5-FU,LAPATINIB,47,663,545,-1.61,0,0
5-FU,SORAFENIB,47,663,142,5.51,0,1
5-FU,SUNITINIB,47,663,727,10.085,0,1
BORTEZOMIB,DASATINIB,47,130,121,1.795,0,1
BORTEZOMIB,GELDANAMYCIN,47,130,34,3.9875,0,1
BORTEZOMIB,SORAFENIB,47,130,142,3.91,0,1
BORTEZOMIB,TOPOTECAN,47,130,287,5.7625,0,1
DASATINIB,GELDANAMYCIN,47,121,34,-4.565,0,0
DASATINIB,SORAFENIB,47,121,142,6.7125,0,1
DASATINIB,TOPOTECAN,47,121,287,2.89,0,1
DEXAMETHASONE,BORTEZOMIB,47,205,130,-5.1325,0,0
DEXAMETHASONE,DASATINIB,47,205,121,5.3275,0,1
DEXAMETHASONE,ERLOTINIB,47,205,251,-3.7175,0,0
DEXAMETHASONE,GELDANAMYCIN,47,205,34,-2.92,0,0
DEXAMETHASONE,LAPATINIB,47,205,545,5.6325,0,1
DEXAMETHASONE,SORAFENIB,47,205,142,11.0975,0,1
DEXAMETHASONE,SUNITINIB,47,205,727,-4.3175,0,0
DOXORUBICIN,BORTEZOMIB,47,103,130,0.2175,0,1
DOXORUBICIN,DASATINIB,47,103,121,0.9475,0,1
DOXORUBICIN,ERLOTINIB,47,103,251,0.125,0,1
DOXORUBICIN,GELDANAMYCIN,47,103,34,-1.35,0,0
DOXORUBICIN,LAPATINIB,47,103,545,6.675,0,1
DOXORUBICIN,SORAFENIB,47,103,142,-2.3,0,0
DOXORUBICIN,SUNITINIB,47,103,727,-1.97,0,0
ERLOTINIB,BORTEZOMIB,47,251,130,1.0425,0,1
ERLOTINIB,DASATINIB,47,251,121,-2.6875,0,0
ERLOTINIB,GELDANAMYCIN,47,251,34,4.61,0,1
ERLOTINIB,SORAFENIB,47,251,142,8.37,0,1
ERLOTINIB,TOPOTECAN,47,251,287,9.645,0,1
ETOPOSIDE,BORTEZOMIB,47,324,130,4.3175,0,1
ETOPOSIDE,DASATINIB,47,324,121,5.6375,0,1
ETOPOSIDE,ERLOTINIB,47,324,251,4.815,0,1
ETOPOSIDE,GELDANAMYCIN,47,324,34,6.0475,0,1
ETOPOSIDE,LAPATINIB,47,324,545,8.3425,0,1
ETOPOSIDE,SORAFENIB,47,324,142,7.22,0,1
ETOPOSIDE,SUNITINIB,47,324,727,5.26,0,1
GELDANAMYCIN,SORAFENIB,47,34,142,8.285,0,1
GELDANAMYCIN,TOPOTECAN,47,34,287,2.3775,0,1
GEMCITABINE,BORTEZOMIB,47,468,130,1.6575,0,1
GEMCITABINE,DASATINIB,47,468,121,-0.09,0,0
GEMCITABINE,ERLOTINIB,47,468,251,0.0225,0,1
GEMCITABINE,GELDANAMYCIN,47,468,34,-0.17,0,0
GEMCITABINE,LAPATINIB,47,468,545,2.6025,0,1
GEMCITABINE,SORAFENIB,47,468,142,-0.735,0,0
GEMCITABINE,SUNITINIB,47,468,727,1.7975,0,1
LAPATINIB,BORTEZOMIB,47,545,130,1.9975,0,1
LAPATINIB,DASATINIB,47,545,121,3.7375,0,1
LAPATINIB,ERLOTINIB,47,545,251,-3.0825,0,0
LAPATINIB,GELDANAMYCIN,47,545,34,8.405,0,1
LAPATINIB,SORAFENIB,47,545,142,9.415,0,1
LAPATINIB,TOPOTECAN,47,545,287,5.7925,0,1
METFORMIN,BORTEZOMIB,47,660,130,1.915,0,1
METFORMIN,DASATINIB,47,660,121,-0.485,0,0
METFORMIN,ERLOTINIB,47,660,251,-0.5225,0,0
METFORMIN,GELDANAMYCIN,47,660,34,2.565,0,1
METFORMIN,LAPATINIB,47,660,545,-3.8075,0,0
METFORMIN,SORAFENIB,47,660,142,7.535,0,1
METFORMIN,SUNITINIB,47,660,727,3.1675,0,1
METHOTREXATE,BORTEZOMIB,47,285,130,2.565,0,1
METHOTREXATE,DASATINIB,47,285,121,-7.365,0,0
METHOTREXATE,ERLOTINIB,47,285,251,-9.41,0,0
METHOTREXATE,GELDANAMYCIN,47,285,34,-0.8175,0,0
METHOTREXATE,LAPATINIB,47,285,545,-5.3675,0,0
METHOTREXATE,SORAFENIB,47,285,142,1.2725,0,1
METHOTREXATE,SUNITINIB,47,285,727,-4.515,0,0
PACLITAXEL,BORTEZOMIB,47,702,130,2.9075,0,1
PACLITAXEL,DASATINIB,47,702,121,0.23,0,1
PACLITAXEL,ERLOTINIB,47,702,251,1.3275,0,1
PACLITAXEL,GELDANAMYCIN,47,702,34,0.16,0,1
PACLITAXEL,LAPATINIB,47,702,545,7.1325,0,1
PACLITAXEL,SORAFENIB,47,702,142,2.2925,0,1
PACLITAXEL,SUNITINIB,47,702,727,0.47,0,1
SUNITINIB,BORTEZOMIB,47,727,130,4.66,0,1
SUNITINIB,DASATINIB,47,727,121,-2.7175,0,0
SUNITINIB,ERLOTINIB,47,727,251,-1.61,0,0
SUNITINIB,GELDANAMYCIN,47,727,34,9.065,0,1
SUNITINIB,LAPATINIB,47,727,545,9.74,0,1
SUNITINIB,SORAFENIB,47,727,142,4.355,0,1
SUNITINIB,TOPOTECAN,47,727,287,4.755,0,1
TOPOTECAN,SORAFENIB,47,287,142,7.755,0,1
VINBLASTINE,BORTEZOMIB,47,650,130,4.1575,0,1
VINBLASTINE,DASATINIB,47,650,121,-2.505,0,0
VINBLASTINE,ERLOTINIB,47,650,251,6.4625,0,1
VINBLASTINE,GELDANAMYCIN,47,650,34,2.83,0,1
VINBLASTINE,LAPATINIB,47,650,545,3.145,0,1
VINBLASTINE,SORAFENIB,47,650,142,7.5775,0,1
VINBLASTINE,SUNITINIB,47,650,727,1.815,0,1
VINORELBINE,BORTEZOMIB,47,332,130,2.5525,0,1
VINORELBINE,DASATINIB,47,332,121,-4.01,0,0
VINORELBINE,ERLOTINIB,47,332,251,0.765,0,1
VINORELBINE,GELDANAMYCIN,47,332,34,1.91,0,1
VINORELBINE,LAPATINIB,47,332,545,2.7675,0,1
VINORELBINE,SORAFENIB,47,332,142,1.855,0,1
VINORELBINE,SUNITINIB,47,332,727,-0.795,0,0
5-FU,BORTEZOMIB,9,663,130,7.72,0,1
5-FU,DASATINIB,9,663,121,5.1975,0,1
5-FU,ERLOTINIB,9,663,251,3.96,0,1
5-FU,GELDANAMYCIN,9,663,34,3.05,0,1
5-FU,LAPATINIB,9,663,545,2.7075,0,1
5-FU,SORAFENIB,9,663,142,-2.4225,0,0
5-FU,SUNITINIB,9,663,727,6.7175,0,1
BORTEZOMIB,DASATINIB,9,130,121,13.38,0,1
BORTEZOMIB,GELDANAMYCIN,9,130,34,19.7325,0,1
BORTEZOMIB,SORAFENIB,9,130,142,6.135,0,1
BORTEZOMIB,TOPOTECAN,9,130,287,10.055,0,1
DASATINIB,GELDANAMYCIN,9,121,34,4.4575,0,1
DASATINIB,SORAFENIB,9,121,142,2.52,0,1
DASATINIB,TOPOTECAN,9,121,287,2.4375,0,1
DEXAMETHASONE,BORTEZOMIB,9,205,130,18.53,0,1
DEXAMETHASONE,DASATINIB,9,205,121,2.9575,0,1
DEXAMETHASONE,ERLOTINIB,9,205,251,3.33,0,1
DEXAMETHASONE,GELDANAMYCIN,9,205,34,1.9725,0,1
DEXAMETHASONE,LAPATINIB,9,205,545,4.3775,0,1
DEXAMETHASONE,SORAFENIB,9,205,142,2.07,0,1
DEXAMETHASONE,SUNITINIB,9,205,727,11.0825,0,1
DOXORUBICIN,BORTEZOMIB,9,103,130,10.2525,0,1
DOXORUBICIN,DASATINIB,9,103,121,12.815,0,1
DOXORUBICIN,ERLOTINIB,9,103,251,-11.0325,0,0
DOXORUBICIN,GELDANAMYCIN,9,103,34,4.1725,0,1
DOXORUBICIN,LAPATINIB,9,103,545,4.1975,0,1
DOXORUBICIN,SORAFENIB,9,103,142,-10.72,0,0
DOXORUBICIN,SUNITINIB,9,103,727,1.15,0,1
ERLOTINIB,BORTEZOMIB,9,251,130,13.12,0,1
ERLOTINIB,DASATINIB,9,251,121,7.47,0,1
ERLOTINIB,GELDANAMYCIN,9,251,34,3.755,0,1
ERLOTINIB,SORAFENIB,9,251,142,-0.4275,0,0
ERLOTINIB,TOPOTECAN,9,251,287,2.3525,0,1
ETOPOSIDE,BORTEZOMIB,9,324,130,12.6875,0,1
ETOPOSIDE,DASATINIB,9,324,121,0.13,0,1
ETOPOSIDE,ERLOTINIB,9,324,251,3.8025,0,1
ETOPOSIDE,GELDANAMYCIN,9,324,34,-0.675,0,0
ETOPOSIDE,LAPATINIB,9,324,545,8.65,0,1
ETOPOSIDE,SORAFENIB,9,324,142,-1.47,0,0
ETOPOSIDE,SUNITINIB,9,324,727,6.58,0,1
