Drug1,Drug2,cell,drug1_db,drug2_db,synergy,sideeffect,synergistic
5-FU,BORTEZOMIB,14,400,710,0.9975,0,1
5-FU,DASATINIB,14,400,495,0.1925,0,1
5-FU,ERLOTINIB,14,400,529,1.12,0,1
5-FU,GELDANAMYCIN,14,400,631,6.2925,0,1
5-FU,LAPATINIB,14,400,324,-0.8575,0,0
5-FU,SORAFENIB,14,400,657,7.2025,0,1
5-FU,SUNITINIB,14,400,667,7.425,0,1
BORTEZOMIB,DASATINIB,14,710,495,-1.65,0,0
BORTEZOMIB,GELDANAMYCIN,14,710,631,3.785,0,1
BORTEZOMIB,SORAFENIB,14,710,657,8.0675,0,1
BORTEZOMIB,TOPOTECAN,14,710,555,-4.8325,0,0
DASATINIB,GELDANAMYCIN,14,495,631,9.8675,0,1
DASATINIB,SORAFENIB,14,495,657,13.25,0,1
DASATINIB,TOPOTECAN,14,495,555,6.125,0,1
DEXAMETHASONE,BORTEZOMIB,14,481,710,3.32,0,1
DEXAMETHASONE,DASATINIB,14,481,495,13.6625,0,1
DEXAMETHASONE,ERLOTINIB,14,481,529,-1.9475,0,0
DEXAMETHASONE,GELDANAMYCIN,14,481,631,5.59,0,1
DEXAMETHASONE,LAPATINIB,14,481,324,0.11,0,1
DEXAMETHASONE,SORAFENIB,14,481,657,13.375,0,1
DEXAMETHASONE,SUNITINIB,14,481,667,16.555,0,1
DOXORUBICIN,BORTEZOMIB,14,655,710,-0.1025,0,0
DOXORUBICIN,DASATINIB,14,655,495,-4.7025,0,0
DOXORUBICIN,ERLOTINIB,14,655,529,-5.645,0,0
DOXORUBICIN,GELDANAMYCIN,14,655,631,-2.4225,0,0
DOXORUBICIN,LAPATINIB,14,655,324,-3.9125,0,0
DOXORUBICIN,SORAFENIB,14,655,657,-16.425,0,0
DOXORUBICIN,SUNITINIB,14,655,667,-17.505,0,0
ERLOTINIB,BORTEZOMIB,14,529,710,-0.2325,0,0
ERLOTINIB,DASATINIB,14,529,495,-2.415,0,0
ERLOTINIB,GELDANAMYCIN,14,529,631,10.1875,0,1
ERLOTINIB,SORAFENIB,14,529,657,8.5525,0,1
ERLOTINIB,TOPOTECAN,14,529,555,15.61,0,1
ETOPOSIDE,BORTEZOMIB,14,595,710,0.0675,0,1
ETOPOSIDE,DASATINIB,14,595,495,5.2025,0,1
ETOPOSIDE,ERLOTINIB,14,595,529,6.8,0,1
ETOPOSIDE,GELDANAMYCIN,14,595,631,0.365,0,1
ETOPOSIDE,LAPATINIB,14,595,324,3.175,0,1
ETOPOSIDE,SORAFENIB,14,595,657,1.3875,0,1
ETOPOSIDE,SUNITINIB,14,595,667,-1.3525,0,0
GELDANAMYCIN,SORAFENIB,14,631,657,6.835,0,1
GELDANAMYCIN,TOPOTECAN,14,631,555,-0.8975,0,0
GEMCITABINE,BORTEZOMIB,14,320,710,1.86,0,1
GEMCITABINE,DASATINIB,14,320,495,2.8825,0,1
GEMCITABINE,ERLOTINIB,14,320,529,0.41,0,1
GEMCITABINE,GELDANAMYCIN,14,320,631,0.23,0,1
GEMCITABINE,LAPATINIB,14,320,324,-1.6825,0,0
GEMCITABINE,SORAFENIB,14,320,657,1.2675,0,1
GEMCITABINE,SUNITINIB,14,320,667,1.7075,0,1
LAPATINIB,BORTEZOMIB,14,324,710,3.1625,0,1
LAPATINIB,DASATINIB,14,324,495,-3.375,0,0
LAPATINIB,ERLOTINIB,14,324,529,-5.1725,0,0
LAPATINIB,GELDANAMYCIN,14,324,631,9.0575,0,1
LAPATINIB,SORAFENIB,14,324,657,7.975,0,1
LAPATINIB,TOPOTECAN,14,324,555,6.255,0,1
METFORMIN,BORTEZOMIB,14,425,710,-0.7575,0,0
METFORMIN,DASATINIB,14,425,495,-2.735,0,0
METFORMIN,ERLOTINIB,14,425,529,-3.3975,0,0
METFORMIN,GELDANAMYCIN,14,425,631,0.9775,0,1
METFORMIN,LAPATINIB,14,425,324,-2.0175,0,0
METFORMIN,SORAFENIB,14,425,657,8.3,0,1
METFORMIN,SUNITINIB,14,425,667,4.9275,0,1
METHOTREXATE,BORTEZOMIB,14,737,710,3.4575,0,1
METHOTREXATE,DASATINIB,14,737,495,0.2,0,1
METHOTREXATE,ERLOTINIB,14,737,529,10.26,0,1
METHOTREXATE,GELDANAMYCIN,14,737,631,5.0325,0,1
METHOTREXATE,LAPATINIB,14,737,324,9.2575,0,1
METHOTREXATE,SORAFENIB,14,737,657,6.9325,0,1
METHOTREXATE,SUNITINIB,14,737,667,-2.295,0,0
PACLITAXEL,BORTEZOMIB,14,477,710,-0.9375,0,0
PACLITAXEL,DASATINIB,14,477,495,5.08,0,1
PACLITAXEL,ERLOTINIB,14,477,529,9.9375,0,1
PACLITAXEL,GELDANAMYCIN,14,477,631,-0.54,0,0
PACLITAXEL,LAPATINIB,14,477,324,17.83,0,1
PACLITAXEL,SORAFENIB,14,477,657,10.055,0,1
PACLITAXEL,SUNITINIB,14,477,667,8.3475,0,1
SUNITINIB,BORTEZOMIB,14,667,710,2.7225,0,1
SUNITINIB,DASATINIB,14,667,495,14.285,0,1
SUNITINIB,ERLOTINIB,14,667,529,7.29,0,1
SUNITINIB,GELDANAMYCIN,14,667,631,9.9425,0,1
SUNITINIB,LAPATINIB,14,667,324,9.1225,0,1
SUNITINIB,SORAFENIB,14,667,657,9.525,0,1
SUNITINIB,TOPOTECAN,14,667,555,2.1075,0,1
TOPOTECAN,SORAFENIB,14,555,657,11.225,0,1
VINBLASTINE,BORTEZOMIB,14,730,710,1.4525,0,1
VINBLASTINE,DASATINIB,14,730,495,-0.4475,0,0
VINBLASTINE,ERLOTINIB,14,730,529,9.4075,0,1
VINBLASTINE,GELDANAMYCIN,14,730,631,4.5025,0,1
VINBLASTINE,LAPATINIB,14,730,324,6.7325,0,1
VINBLASTINE,SORAFENIB,14,730,657,11.075,0,1
VINBLASTINE,SUNITINIB,14,730,667,0.17,0,1
VINORELBINE,BORTEZOMIB,14,380,710,1.515,0,1
VINORELBINE,DASATINIB,14,380,495,6.54,0,1
VINORELBINE,ERLOTINIB,14,380,529,12.69,0,1
VINORELBINE,GELDANAMYCIN,14,380,631,8.6425,0,1
VINORELBINE,LAPATINIB,14,380,324,13.7925,0,1
VINORELBINE,SORAFENIB,14,380,657,8.6825,0,1
VINORELBINE,SUNITINIB,14,380,667,4.41,0,1
5-FU,BORTEZOMIB,48,400,710,1.1375,0,1
5-FU,DASATINIB,48,400,495,4.4575,0,1
5-FU,ERLOTINIB,48,400,529,-1.1275,0,0
5-FU,GELDANAMYCIN,48,400,631,1.09,0,1
5-FU,LAPATINIB,48,400,324,-1.61,0,0
5-FU,SORAFENIB,48,400,657,5.51,0,1
5-FU,SUNITINIB,48,400,667,10.085,0,1
BORTEZOMIB,DASATINIB,48,710,495,1.795,0,1
BORTEZOMIB,GELDANAMYCIN,48,710,631,3.9875,0,1
BORTEZOMIB,SORAFENIB,48,710,657,3.91,0,1
BORTEZOMIB,TOPOTECAN,48,710,555,5.7625,0,1
DASATINIB,GELDANAMYCIN,48,495,631,-4.565,0,0
DASATINIB,SORAFENIB,48,495,657,6.7125,0,1
DASATINIB,TOPOTECAN,48,495,555,2.89,0,1
DEXAMETHASONE,BORTEZOMIB,48,481,710,-5.1325,0,0
DEXAMETHASONE,DASATINIB,48,481,495,5.3275,0,1
DEXAMETHASONE,ERLOTINIB,48,481,529,-3.7175,0,0
DEXAMETHASONE,GELDANAMYCIN,48,481,631,-2.92,0,0
DEXAMETHASONE,LAPATINIB,48,481,324,5.6325,0,1
DEXAMETHASONE,SORAFENIB,48,481,657,11.0975,0,1
DEXAMETHASONE,SUNITINIB,48,481,667,-4.3175,0,0
DOXORUBICIN,BORTEZOMIB,48,655,710,0.2175,0,1
DOXORUBICIN,DASATINIB,48,655,495,0.9475,0,1
DOXORUBICIN,ERLOTINIB,48,655,529,0.125,0,1
DOXORUBICIN,GELDANAMYCIN,48,655,631,-1.35,0,0
DOXORUBICIN,LAPATINIB,48,655,324,6.675,0,1
DOXORUBICIN,SORAFENIB,48,655,657,-2.3,0,0
DOXORUBICIN,SUNITINIB,48,655,667,-1.97,0,0
ERLOTINIB,BORTEZOMIB,48,529,710,1.0425,0,1
ERLOTINIB,DASATINIB,48,529,495,-2.6875,0,0
ERLOTINIB,GELDANAMYCIN,48,529,631,4.61,0,1
ERLOTINIB,SORAFENIB,48,529,657,8.37,0,1
ERLOTINIB,TOPOTECAN,48,529,555,9.645,0,1
ETOPOSIDE,BORTEZOMIB,48,595,710,4.3175,0,1
ETOPOSIDE,DASATINIB,48,595,495,5.6375,0,1
ETOPOSIDE,ERLOTINIB,48,595,529,4.815,0,1
ETOPOSIDE,GELDANAMYCIN,48,595,631,6.0475,0,1
ETOPOSIDE,LAPATINIB,48,595,324,8.3425,0,1
ETOPOSIDE,SORAFENIB,48,595,657,7.22,0,1
ETOPOSIDE,SUNITINIB,48,595,667,5.26,0,1
GELDANAMYCIN,SORAFENIB,48,631,657,8.285,0,1
GELDANAMYCIN,TOPOTECAN,48,631,555,2.3775,0,1
GEMCITABINE,BORTEZOMIB,48,320,710,1.6575,0,1
GEMCITABINE,DASATINIB,48,320,495,-0.09,0,0
GEMCITABINE,ERLOTINIB,48,320,529,0.0225,0,1
GEMCITABINE,GELDANAMYCIN,48,320,631,-0.17,0,0
GEMCITABINE,LAPATINIB,48,320,324,2.6025,0,1
GEMCITABINE,SORAFENIB,48,320,657,-0.735,0,0
GEMCITABINE,SUNITINIB,48,320,667,1.7975,0,1
LAPATINIB,BORTEZOMIB,48,324,710,1.9975,0,1
LAPATINIB,DASATINIB,48,324,495,3.7375,0,1
LAPATINIB,ERLOTINIB,48,324,529,-3.0825,0,0
LAPATINIB,GELDANAMYCIN,48,324,631,8.405,0,1
LAPATINIB,SORAFENIB,48,324,657,9.415,0,1
LAPATINIB,TOPOTECAN,48,324,555,5.7925,0,1
METFORMIN,BORTEZOMIB,48,425,710,1.915,0,1
METFORMIN,DASATINIB,48,425,495,-0.485,0,0
METFORMIN,ERLOTINIB,48,425,529,-0.5225,0,0
METFORMIN,GELDANAMYCIN,48,425,631,2.565,0,1
METFORMIN,LAPATINIB,48,425,324,-3.8075,0,0
METFORMIN,SORAFENIB,48,425,657,7.535,0,1
METFORMIN,SUNITINIB,48,425,667,3.1675,0,1
METHOTREXATE,BORTEZOMIB,48,737,710,2.565,0,1
METHOTREXATE,DASATINIB,48,737,495,-7.365,0,0
METHOTREXATE,ERLOTINIB,48,737,529,-9.41,0,0
METHOTREXATE,GELDANAMYCIN,48,737,631,-0.8175,0,0
METHOTREXATE,LAPATINIB,48,737,324,-5.3675,0,0
METHOTREXATE,SORAFENIB,48,737,657,1.2725,0,1
METHOTREXATE,SUNITINIB,48,737,667,-4.515,0,0
PACLITAXEL,BORTEZOMIB,48,477,710,2.9075,0,1
PACLITAXEL,DASATINIB,48,477,495,0.23,0,1
PACLITAXEL,ERLOTINIB,48,477,529,1.3275,0,1
PACLITAXEL,GELDANAMYCIN,48,477,631,0.16,0,1
PACLITAXEL,LAPATINIB,48,477,324,7.1325,0,1
PACLITAXEL,SORAFENIB,48,477,657,2.2925,0,1
PACLITAXEL,SUNITINIB,48,477,667,0.47,0,1
SUNITINIB,BORTEZOMIB,48,667,710,4.66,0,1
SUNITINIB,DASATINIB,48,667,495,-2.7175,0,0
SUNITINIB,ERLOTINIB,48,667,529,-1.61,0,0
SUNITINIB,GELDANAMYCIN,48,667,631,9.065,0,1
SUNITINIB,LAPATINIB,48,667,324,9.74,0,1
SUNITINIB,SORAFENIB,48,667,657,4.355,0,1
SUNITINIB,TOPOTECAN,48,667,555,4.755,0,1
TOPOTECAN,SORAFENIB,48,555,657,7.755,0,1
VINBLASTINE,BORTEZOMIB,48,730,710,4.1575,0,1
VINBLASTINE,DASATINIB,48,730,495,-2.505,0,0
VINBLASTINE,ERLOTINIB,48,730,529,6.4625,0,1
VINBLASTINE,GELDANAMYCIN,48,730,631,2.83,0,1
VINBLASTINE,LAPATINIB,48,730,324,3.145,0,1
VINBLASTINE,SORAFENIB,48,730,657,7.5775,0,1
VINBLASTINE,SUNITINIB,48,730,667,1.815,0,1
VINORELBINE,BORTEZOMIB,48,380,710,2.5525,0,1
VINORELBINE,DASATINIB,48,380,495,-4.01,0,0
VINORELBINE,ERLOTINIB,48,380,529,0.765,0,1
VINORELBINE,GELDANAMYCIN,48,380,631,1.91,0,1
VINORELBINE,LAPATINIB,48,380,324,2.7675,0,1
VINORELBINE,SORAFENIB,48,380,657,1.855,0,1
VINORELBINE,SUNITINIB,48,380,667,-0.795,0,0
5-FU,BORTEZOMIB,0,400,710,7.72,0,1
5-FU,DASATINIB,0,400,495,5.1975,0,1
5-FU,ERLOTINIB,0,400,529,3.96,0,1
5-FU,GELDANAMYCIN,0,400,631,3.05,0,1
5-FU,LAPATINIB,0,400,324,2.7075,0,1
5-FU,SORAFENIB,0,400,657,-2.4225,0,0
5-FU,SUNITINIB,0,400,667,6.7175,0,1
BORTEZOMIB,DASATINIB,0,710,495,13.38,0,1
BORTEZOMIB,GELDANAMYCIN,0,710,631,19.7325,0,1
BORTEZOMIB,SORAFENIB,0,710,657,6.135,0,1
BORTEZOMIB,TOPOTECAN,0,710,555,10.055,0,1
DASATINIB,GELDANAMYCIN,0,495,631,4.4575,0,1
DASATINIB,SORAFENIB,0,495,657,2.52,0,1
DASATINIB,TOPOTECAN,0,495,555,2.4375,0,1
DEXAMETHASONE,BORTEZOMIB,0,481,710,18.53,0,1
DEXAMETHASONE,DASATINIB,0,481,495,2.9575,0,1
DEXAMETHASONE,ERLOTINIB,0,481,529,3.33,0,1
DEXAMETHASONE,GELDANAMYCIN,0,481,631,1.9725,0,1
DEXAMETHASONE,LAPATINIB,0,481,324,4.3775,0,1
DEXAMETHASONE,SORAFENIB,0,481,657,2.07,0,1
DEXAMETHASONE,SUNITINIB,0,481,667,11.0825,0,1
DOXORUBICIN,BORTEZOMIB,0,655,710,10.2525,0,1
DOXORUBICIN,DASATINIB,0,655,495,12.815,0,1
DOXORUBICIN,ERLOTINIB,0,655,529,-11.0325,0,0
DOXORUBICIN,GELDANAMYCIN,0,655,631,4.1725,0,1
DOXORUBICIN,LAPATINIB,0,655,324,4.1975,0,1
DOXORUBICIN,SORAFENIB,0,655,657,-10.72,0,0
DOXORUBICIN,SUNITINIB,0,655,667,1.15,0,1
ERLOTINIB,BORTEZOMIB,0,529,710,13.12,0,1
ERLOTINIB,DASATINIB,0,529,495,7.47,0,1
ERLOTINIB,GELDANAMYCIN,0,529,631,3.755,0,1
ERLOTINIB,SORAFENIB,0,529,657,-0.4275,0,0
ERLOTINIB,TOPOTECAN,0,529,555,2.3525,0,1
ETOPOSIDE,BORTEZOMIB,0,595,710,12.6875,0,1
ETOPOSIDE,DASATINIB,0,595,495,0.13,0,1
ETOPOSIDE,ERLOTINIB,0,595,529,3.8025,0,1
ETOPOSIDE,GELDANAMYCIN,0,595,631,-0.675,0,0
ETOPOSIDE,LAPATINIB,0,595,324,8.65,0,1
ETOPOSIDE,SORAFENIB,0,595,657,-1.47,0,0
ETOPOSIDE,SUNITINIB,0,595,667,6.58,0,1
